item,dayOfWeek,week,Quantity
0,0,4,1
0,0,7,3
0,0,8,1
0,0,9,1
0,0,15,1
0,0,36,1
0,0,37,1
0,0,38,1
0,0,50,1
0,1,2,1
0,1,15,1
0,1,23,1
0,1,28,1
0,1,30,1
0,1,32,1
0,1,35,2
0,1,49,3
0,1,52,1
0,2,1,2
0,2,16,1
0,2,17,1
0,2,18,1
0,2,19,1
0,2,29,1
0,2,30,3
0,2,34,1
0,2,38,1
0,2,45,1
0,2,46,1
0,2,49,4
0,2,51,2
0,3,1,1
0,3,2,2
0,3,4,1
0,3,7,1
0,3,20,1
0,3,28,2
0,3,29,1
0,3,32,1
0,3,42,2
0,3,43,1
0,3,45,1
0,3,48,1
0,3,49,3
0,3,50,1
0,3,51,1
0,4,6,1
0,4,10,1
0,4,20,1
0,4,21,1
0,4,27,1
0,4,29,1
0,4,30,1
0,4,32,2
0,4,33,1
0,4,43,1
0,4,44,1
0,4,49,2
0,4,50,3
0,5,2,1
0,5,4,1
0,5,5,1
0,5,8,2
0,5,10,1
0,5,11,1
0,5,12,3
0,5,15,1
0,5,17,1
0,5,20,3
0,5,21,1
0,5,29,1
0,5,30,7
0,5,31,1
0,5,40,1
0,5,46,1
0,5,47,1
0,5,52,1
0,6,1,1
0,6,3,3
0,6,11,1
0,6,15,1
0,6,16,1
0,6,17,1
0,6,19,4
0,6,24,3
0,6,26,1
0,6,27,1
0,6,33,3
0,6,47,1
0,6,51,2
1,0,1,1
1,0,4,2
1,0,7,2
1,0,8,1
1,0,14,1
1,0,24,1
1,1,1,3
1,1,8,1
1,1,14,1
1,1,26,1
1,1,28,2
1,1,30,1
1,1,32,1
1,1,37,1
1,1,40,1
1,1,49,2
1,2,5,1
1,2,14,1
1,2,19,1
1,2,29,1
1,2,43,1
1,2,48,1
1,2,49,3
1,3,7,1
1,3,8,2
1,3,20,1
1,3,21,1
1,3,28,1
1,3,32,1
1,3,36,1
1,3,48,1
1,3,49,2
1,4,11,1
1,4,20,1
1,4,30,1
1,4,32,1
1,4,41,1
1,4,44,1
1,4,51,1
1,5,4,1
1,5,7,1
1,5,8,1
1,5,15,1
1,5,24,1
1,5,30,6
1,5,31,1
1,5,33,1
1,5,40,1
1,5,42,1
1,5,46,1
1,6,1,1
1,6,3,1
1,6,11,2
1,6,19,5
1,6,20,1
1,6,21,1
1,6,24,1
1,6,26,2
1,6,33,1
1,6,34,1
1,6,48,1
2,0,1,1
2,0,2,2
2,0,6,2
2,0,8,1
2,0,10,1
2,0,15,1
2,0,19,1
2,0,20,1
2,0,22,1
2,0,23,1
2,0,24,1
2,0,28,1
2,0,32,1
2,0,35,1
2,0,36,1
2,0,39,1
2,0,45,1
2,0,46,1
2,0,50,1
2,0,52,1
2,1,3,2
2,1,6,1
2,1,18,1
2,1,21,1
2,1,27,1
2,1,29,1
2,1,30,1
2,1,37,1
2,1,40,2
2,1,41,2
2,1,42,1
2,2,1,1
2,2,5,2
2,2,7,2
2,2,23,2
2,2,28,1
2,2,36,1
2,2,37,1
2,2,41,1
2,2,45,1
2,2,52,1
2,3,5,2
2,3,18,1
2,3,23,1
2,3,24,1
2,3,28,1
2,3,30,1
2,3,33,1
2,3,34,1
2,3,38,1
2,3,41,1
2,3,46,1
2,3,50,1
2,3,51,1
2,3,52,1
2,4,2,1
2,4,6,1
2,4,9,1
2,4,10,1
2,4,11,1
2,4,13,1
2,4,20,2
2,4,23,1
2,4,26,2
2,4,28,1
2,4,32,2
2,4,33,1
2,4,37,1
2,4,39,1
2,4,40,1
2,4,42,1
2,4,48,2
2,4,49,1
2,5,1,1
2,5,2,1
2,5,3,3
2,5,5,1
2,5,11,1
2,5,12,2
2,5,13,1
2,5,17,2
2,5,19,1
2,5,21,2
2,5,23,1
2,5,25,1
2,5,29,1
2,5,30,1
2,5,31,1
2,5,33,1
2,5,34,2
2,5,36,2
2,5,38,1
2,5,39,2
2,5,43,1
2,5,46,1
2,5,47,1
2,5,51,3
2,6,1,2
2,6,3,1
2,6,8,1
2,6,14,1
2,6,16,2
2,6,18,1
2,6,21,2
2,6,22,1
2,6,24,1
2,6,25,1
2,6,28,2
2,6,29,1
2,6,32,2
2,6,34,1
2,6,38,2
2,6,40,1
2,6,44,1
2,6,48,1
2,6,50,1
2,6,51,1
3,0,1,1
3,0,2,1
3,0,3,1
3,0,7,1
3,0,8,2
3,0,12,2
3,0,14,2
3,0,19,1
3,0,20,1
3,0,22,1
3,0,24,1
3,0,26,1
3,0,27,1
3,0,34,1
3,0,36,3
3,0,39,1
3,0,41,1
3,0,42,1
3,0,43,1
3,0,49,1
3,0,51,2
3,1,2,1
3,1,4,1
3,1,5,1
3,1,6,2
3,1,7,1
3,1,9,4
3,1,10,1
3,1,11,2
3,1,13,1
3,1,14,3
3,1,18,1
3,1,19,2
3,1,23,1
3,1,24,1
3,1,27,1
3,1,29,1
3,1,35,1
3,1,37,1
3,1,38,1
3,1,40,2
3,1,44,2
3,1,45,1
3,1,47,2
3,1,49,1
3,1,50,1
3,2,1,1
3,2,2,1
3,2,6,1
3,2,10,2
3,2,14,4
3,2,33,1
3,2,35,1
3,2,36,2
3,2,38,1
3,2,44,1
3,2,45,1
3,2,46,1
3,2,49,1
3,2,51,1
3,2,52,2
3,3,1,2
3,3,2,3
3,3,9,2
3,3,14,1
3,3,17,1
3,3,18,1
3,3,19,2
3,3,21,2
3,3,22,1
3,3,23,1
3,3,24,1
