,0
0,Achar Chicken
1,Achar Lamb
2,Aloo Brinjal
3,Aloo Chaat
4,Aloo Dupiaza
5,Aloo Gobi
6,Aloo Mithy
7,Aloo Peas
8,Bangon Hari Mirch
9,Bhindi Bhajee
10,Bhuna
11,Bhuna - Chicken
12,Bhuna - Chicken Tikka
13,Bhuna - King Prawn
14,Bhuna - Lamb
15,Bhuna - Prawn
16,Bhuna - chicken
17,Bhuna - chicken-tikka
18,Bhuna - king-prawn
19,Bhuna - lamb
20,Bhuna - prawn
21,Bombay
22,Bombay - Chicken
23,Bombay - Chicken Tikka
24,Bombay - King Prawn
25,Bombay - Lamb
26,Bombay - Prawn
27,Bombay - chicken
28,Bombay - chicken-tikka
29,Bombay Aloo
30,Bottle Coke
31,Bottle Diet Coke
32,Bottle Water 75cl
33,Brinjal Bhajee
34,Butter Chicken
35,COBRA ( LARGE )
36,COBRA (330ML)
37,COBRA (660ML)
38,Cauliflower Bhajee
39,Chana Chaat
40,Chana Masala
41,Chapati
42,Chicken Balti
43,Chicken Biryani
44,Chicken Chaat
45,Chicken Chaat (Main)
46,Chicken Chilli Masala
47,Chicken Chilli Suka
48,Chicken Hari Mirch
49,Chicken Karahi
50,Chicken Pakora
51,Chicken Rezala
52,Chicken Roshni
53,Chicken Royal
54,Chicken Shashlick
55,Chicken Shashlick Curry
56,Chicken Shaslick
57,Chicken Sylhet
58,Chicken Tikka
59,Chicken Tikka (Main)
60,Chicken Tikka Balti
61,Chicken Tikka Biryani
62,Chicken Tikka Jalfrezi
63,Chicken Tikka Karahi
64,Chicken Tikka Masala
65,Chicken Tikka Pasanda
66,Chicken Tikka Sizzler
67,Chilli Paneer
68,Coke 1.5 ltr
69,Crispy Aloo
70,Curry
71,Curry - Chicken
72,Curry - Chicken Tikka
73,Curry - King Prawn
74,Curry - Lamb
75,Curry - Prawn
76,Curry - chicken
77,Curry - chicken-tikka
78,Curry - king-prawn
79,Curry - lamb
80,Curry - prawn
81,Curry Sauce
82,Cylon
83,Cylon - Chicken
84,Cylon - Chicken Tikka
85,Cylon - King Prawn
86,Cylon - Lamb
87,Cylon - Prawn
88,Cylon - chicken
89,Cylon - chicken-tikka
90,Cylon - king-prawn
91,Cylon - prawn
92,Dahi
93,Dhansak
94,Dhansak - Chicken
95,Dhansak - Chicken Tikka
96,Dhansak - King Prawn
97,Dhansak - Lamb
98,Dhansak - Prawn
99,Dhansak - chicken
100,Dhansak - chicken-tikka
101,Dhansak - king-prawn
102,Dhansak - lamb
103,Dhansak - prawn
104,Diet Coke 1.5 ltr
105,Dupiaza
106,Dupiaza - Chicken
107,Dupiaza - Chicken Tikka
108,Dupiaza - King Prawn
109,Dupiaza - Lamb
110,Dupiaza - Prawn
111,Dupiaza - chicken
112,Dupiaza - king-prawn
113,Dupiaza - lamb
114,Egg Paratha
115,Egg Rice
116,French Fries
117,Garlic Chicken
118,Garlic Chicken Rice
119,Garlic Lamb
120,Garlic Mirch Chicken
121,Garlic Mirch Lamb
122,Garlic Mushroom
123,Garlic Naan
124,Garlic Rice
125,Garlic Tikka Chilli Masala
126,Grapes Special
127,Graps Specil
128,Green Salad
129,House Red wine 75cl
130,House white wine 75cl
131,Jeera Chicken
132,Jinga Chillies
133,Keema Aloo
134,Keema Naan
135,Keema Rice
136,King Prawn Balti
137,King Prawn Biryani
138,King Prawn Butterfly
139,King Prawn Jalfrezi
140,King Prawn Karahi
141,King Prawn Puree
142,King Prawn Royal
143,King Prawn Shaslick
144,Korma
145,Korma - Chicken
146,Korma - Chicken Tikka
147,Korma - King Prawn
148,Korma - Lamb
149,Korma - Prawn
150,Korma - chicken
151,Korma - chicken-tikka
152,Korma - lamb
153,Korma - prawn
154,Korma Sauce
155,Kulcha Naan
156,Kurma
157,Kurma Sauce
158,Lal Mirch Chicken
159,Lal Mirch Lamb
160,Lamb Balti
161,Lamb Biryani
162,Lamb Chilli Masala
163,Lamb Chops
